head	rel	tail
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	r-3TgtF4SvYdchMA39otX34w
u-IiZv0qzwQYyZm9C_w_2RjA	VISITED_ON	r-46GrMV8DVHOaFONU5AYHBw
b-qcqDjeirxvdgW5kQVkEwSA	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
r-EskDcmGw92G_4rxpYeJ26A	REMEMBER_FROM	r-lo50ZWkUd77gVAQIKKnm8w
r-ABEJxxUJHpyTWz6sCyHyYw	FINISH	u-cz87n3GPzjPP29e5tgQryQ
Lamb_Shank	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
u-3bWTUkL1Wb5TEJJ9yDVqDQ	VISITED_ON	u-kmC8nIGdQeLUOBCgRDzS8g
r-L5z7MtdpG4ZzARlUu6Ndjw	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u-vwSs94I4qE_874wg4kCOSQ	REMEMBER_FROM	u-3aGRbM1U4iABY7CLsMOxFQ
r--wnPnJmFAC_G3peJb_8pIQ	CATAPULTS_TO	r-LDlo6zndFbVUx0ukhMDx8Q
r-0-stf0NJOCI4SvVG86gqYQ	LOOKED_LIKE	Goat_Roti
u-YvQEbFJx93Bt-Pai7SRn9A	GETTING_FROM	u-kmC8nIGdQeLUOBCgRDzS8g
u-cdqUGCBJtbdpkMA2sbfpKA	FINISH	r-WIOr1b8_PwPG6JdFYSxv_Q
r-SuLSMFVvTllJ6Xwrh5IuVA	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
r-Y0ECu_eAJ6iXq6BI_Cb4UQ	DROVE_FROM	Vada_Sambhar
u-O0evs8847ecEkeFMEuK4PA	PICKED	Samasoas
r-x5NPOZY5O_Gp5La0mU6FCw	FINISH	u-T3DctriR2W7Y5Ikb4zs88A
u-AvC5XQAElcGAAn_Wr5auEg	REMINDED	u-a-2lkbrLZX8-psJjJ-4Qvw
u-z6qIyc-_oIbgDWAembZ04w	CATAPULTS_TO	u-5SAuwOC7FX6dnlmgts_EoA
u-whCIT8n-O3EKWv_nIjl46w	REMEMBER_FROM	r-C5ApkSepwC82WryX42ScEw
r-WkphvalssCdU8akdh0onMg	VISITED_ON	r-SuLSMFVvTllJ6Xwrh5IuVA
r-diBNn6e5hRD017Tp-4NIwg	VISITED_ON	u-l5_g5z9eOeXEMhA2x2lIog
Coconut_Barphi	GETTING_FROM	r-yYs7WnBMoZdYsKOM7DYpXg
r-1XeZG3YyHWsZZEh2pR-jJQ	VISITED_ON	Quiet
u-5SAuwOC7FX6dnlmgts_EoA	PICKED	u-TWkZAEsuxaidX4HOMRnRAQ
r-Y0ECu_eAJ6iXq6BI_Cb4UQ	DROVE_FROM	r-W77W48XgerisG1sOOJyL7A
b-7xA6iSP0Ndn08tpBFQtUKA	FINISH	r-LU2D94mg1vwRd-QQ1luSWQ
u-2l5Pt9zUT1NI9309L-AGgg	GETTING_FROM	u-mRv0t_dmwWZzm0-gFBnRlA
r-XYP6pLlfzAe0VBGgrtB1TA	REMEMBER_FROM	r-S76Q-vUQm6Mkrvr3tPZbaQ
b-7vgWonwfqRt9pxR1c00Ulw	VISITED_ON	r-aFPjqclPBIiTkyW1bYAjOA
r-vYBWHE0oIU2Z6Wz910iFHQ	FINISH	u-xyejFqAoTRp_SULjJ2Lgpg
u-2qLQOJHBuGQTwoIFnMFmRg	DROVE_FROM	r-2T2WRcX3E-5eobRfu3_xuw
u-r2MM-UPP0s4CH7ozc3QIeA	VISITED_ON	r-zerZabI-xjJAbX5YhrbIdA
r-rMlElxVn8D5ZYa6z6GSv6A	REMINDED	u-HeRY_GdwfXE6H7BMqjwI0A
u-94J1J7zJCVgfN8bz1qF-8g	CATAPULTS_TO	Buffets
Expensive	FINISH	Gooood
Dirty	REMINDED	u-f--ona4DuvVKoKoumX4Tyg
r-luTf7MjCEOrBu2A-RGQNtQ	DROVE_FROM	r-2T2WRcX3E-5eobRfu3_xuw
u-r3-LjnU8ABaDcbc7pHbj0w	SERVED_ON	u-eSqCqWxdazlz9KGlNC7g_g
u-fZoXZmSR-xnpjG5zi7ALrQ	GETTING_FROM	Dirty
u-5SAuwOC7FX6dnlmgts_EoA	REMINDED	u-PL6jMLiH3Pzj8XF6V3BlvQ
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	u-PcbsVShGWMQ0vi-SAHtrQw
r-TefEe6l0yMyYtlnCym-j5w	GETTING_FROM	u-2K50D1mnCCO1sLcsABEQlw
u-3p66LPQoaDIrA7fMoq9t8A	FINISH	r-TXIV-EiPD_tzp94f8EHEPQ
r-fJcGSIj_c1Q_Pcy2WNCeRQ	GETTING_FROM	u-eSqCqWxdazlz9KGlNC7g_g
r-XcJg4_THRA5HFDzcc0t0Rg	VISITED_ON	u-tRmW0n2d_Q4c_TXqfUSINA
Quiet	REMINDED	u-09QcQYf_t1NEq_AkjJuABA
u-DSM73RQ4huvuYjI4azX7dw	CATAPULTS_TO	r-IsX2uIp6D1fpI5jQ6nv7RQ
r--JpQQDqXOcG0ExRAzDCq5A	FINISH	u-UUjvdquloiIdcOiyvrKlrA
Naan_Bread	VISITED_ON	Dirty
r-wtgbwFMUiqIL3IMOXClw6g	VISITED_ON	r-kIVdLB56Q7caOLV_RR0pFQ
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	r-JckCEB5nmwsYAe8_0lhtCA
r-zerZabI-xjJAbX5YhrbIdA	CONVINCED_WITH	u-aMzH2Ev7prWMJ1UMJlndCA
r-ABEJxxUJHpyTWz6sCyHyYw	FINISH	r-dZJSNej7NFRo8DT10x7VQg
r-UPI1kdowVdk_wwR4Z8-wTA	REMINDED	Curry_Dish
u-YncEuCsDXYH2mZRWcwkY2Q	VISITED_ON	r-kIVdLB56Q7caOLV_RR0pFQ
r-F6px98jQBMDSWkFyMjptQw	PICKED	r-msyjYck3aEPytJEZHy11vg
r-Tozcwl0-t8Qf6Our1z4-cA	WENT_TO	u-QOk29S8eOtu94j1uTpmsuQ
u-eJ00Pm6BVn91jySR6ETCag	FINISH	u-OQBMu7x0V4Oz3iFv3x0i5Q
u-UHHraFRu5NKvZqIHp2O02w	FINISH	u-mDI0Ps-DLxWWfGV75S_XIQ
Ample	FINISH	u-rZwfucC2U81hGAGSceL5ew
r-w9RT7edK0gPKUsT6jZkpnA	FINISH	r-bMnXa37Zik0oz5XkSZs58Q
u-eeHkL577GLoekAV9TsTTkA	PICKED	r-GYk06VU_RQoypfhgomFgGQ
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	u-8BJ4VEi11-XN8a-rqjo3Qg
r-XptT9SApZCe6c14a5iTMzQ	VISITED_ON	u-2K50D1mnCCO1sLcsABEQlw
r-o7cYgVoPYaLrJV9au86F5A	REMINDED	Sesame_Beef
Basmati	CATAPULTS_TO	r-6iYuO2eDWIIPbT21k1cLxQ
u-r3-LjnU8ABaDcbc7pHbj0w	SERVED_ON	u-x8GuHHp7EJylrrq9HqL0fA
r-Dq-eNfOXxCjSfQFj35_aew	REMEMBER_FROM	u-LyjEBN-9r5BLStzwBgIfXg
r-eYLeCPV8gheq90RVc8IOgg	FINISH	r-bZntkVIh4u90nj1qWBVLRQ
u-cYrChYDCfkYafbDkSbLqtg	VISITED_ON	r-XrIGPT_Uy-8Y89E1XrbCQg
u-EpHjPLLhKtQPE-m02ZmCTw	REMEMBER_FROM	r-QCxqiPHGiKTvBnjVCQcuqQ
u-72binVGkuOlQ5VAF7fgeYA	REMINDED	u-w3iSwsOxgsszt6Pma0ZU6Q
u-Ea9aNN7dtf_Wa7CgbifuWg	REMEMBER_FROM	r-yPRwIumwqV6qF9MZrHdRyg
u-0LUt7xSvYgLpL0zBezI5QA	PICKED	r-luTf7MjCEOrBu2A-RGQNtQ
r-n2iZZMkgvsRFbmXXI4dADw	FINISH	r-v7mWuPR0qaM9ROjimHAc3g
u-UKzNfJENS3TFLwcEf-U21Q	SERVED_ON	u-eeHkL577GLoekAV9TsTTkA
Lamb_Shank	PICKED	u-OXLbpZSZiOLPry6rsA2YVQ
u-7jw2VAbnGkr0GF6evuvViQ	SERVED_ON	u-O0evs8847ecEkeFMEuK4PA
u-7C6-_zIPm9-GjcizGan9rg	VISITED_ON	u-AvC5XQAElcGAAn_Wr5auEg
u-3zdB0SSrXIDIgsrOmhdUtQ	PICKED	u-ZbU40C9od3CA2CANZJ-LQg
r-7BEYqR-rrGUMRvVhf7fa1Q	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u--MUlkZydqw3_-ODWuZR-KQ	SERVED_ON	r-dkcgu0cstw04dC5Jva7RHw
r-LBMH067jwhB6opyW1rpauA	REMINDED	r-apgV7k1i8e8M3obodmYmWA
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	Payasam
u-DSM73RQ4huvuYjI4azX7dw	CATAPULTS_TO	Dirty
r-d99ko2moR4aiQ5w_LL1KRQ	FINISH	u-Vp_C7oIxeztbd2PchNBOHw
u-kmC8nIGdQeLUOBCgRDzS8g	LOOKED_LIKE	u-RTtYDV2WaTJy9Ccl3WxXKw
Venues_&_Event_Spaces	VISITED_ON	r-F6px98jQBMDSWkFyMjptQw
Federicks	VISITED_ON	r-GQXZ_jZTd1Qwdj7opaYQyQ
u-2K50D1mnCCO1sLcsABEQlw	REMINDED	u-OIVAJo8QryN-bJOjOvxkVQ
u-HhshgpOwUGDk0_yI-Sa42w	GETTING_FROM	r-aFPjqclPBIiTkyW1bYAjOA
u-yw85-9lSB5H9jF8pBCA3XA	LOOKED_LIKE	u-3o09Ya5VcRVMN3b2szZvkQ
u-2oj7KXXuBXOGfnLs0rCwkw	REMEMBER_FROM	u-3aGRbM1U4iABY7CLsMOxFQ
u-zOV8SA3Le4THJE1OiGYS4g	CATAPULTS_TO	u-kmC8nIGdQeLUOBCgRDzS8g
u-tRmW0n2d_Q4c_TXqfUSINA	LOOKED_LIKE	r-Hb09_FIWLdMDpRBXeUHVuQ
Steak	VISITED_ON	r-buUZ8lssJrqB6TzyHNSlvQ
Batura	GETTING_FROM	u-S9F2a5MxI22ke1LX7JnIxg
r-d4rATcSKTpDc5enubP1WNQ	FINISH	r-xteG_3pNynVKaPojzNQAWw
Salad	VISITED_ON	u-5SAuwOC7FX6dnlmgts_EoA
u-kPhhm_zcIsNYYtQthLX92g	PICKED	u-2qLQOJHBuGQTwoIFnMFmRg
u-U5YQX_vMl_xQy8EQDqlNQQ	DROVE_FROM	u-XgmEAWKBxlQ3vetV5ZXeow
u-rQaSxi5bNINL8jo9AUK05w	SERVED_ON	r-kIVdLB56Q7caOLV_RR0pFQ
r-oQJ5DlXgf5soaxwiCOf_mw	PICKED	u-LyjEBN-9r5BLStzwBgIfXg
u-OCzYa2nj8FkeQZjDej3OkA	FINISH	Reluctant
u-xX2d5O4VNdaoLh0tbY8J-w	REMINDED	Aloo_Jalfrezi
r-TnJMu9RDJIFjIC0iIbJwTA	FINISH	r-ghvOVPQl9aeL0oVlkjy-LQ
r-16EquhLtluC7UeZRWdxjiA	REMINDED	r-GOiea4f0m6C3iVcmerFpjA
r-rlVAMQXX4H_diXQ5UPt6IA	REMINDED	u-3c3aNHGUPDwFZhxCe-p8Ag
u-4iGLmf-RR69KhpjIk-EMPw	FINISH	u-gCp21sfvL6HnQOvapeV7sw
r-zyiMLBBqAi2xbzxM3LtwQQ	CATAPULTS_TO	r-JmaIRCVHRZZMkpacl6J2ng
u-hr-ZynlC46UuZ5_mZPe2Ng	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u-h9y55WNNg7SYg3kQwzTMmQ	GETTING_FROM	u-72binVGkuOlQ5VAF7fgeYA
u-O0evs8847ecEkeFMEuK4PA	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
Shrimp_Pekoras	LOOKED_LIKE	r-bUldmdKiiINDVb79ot_veA
u-hFDFHO70fyENIQ1bbtYufQ	GETTING_FROM	b-qcqDjeirxvdgW5kQVkEwSA
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	r-3TgtF4SvYdchMA39otX34w
r-Xd8AQFPBw-HBj_LfUw1ACQ	GETTING_FROM	r-46GrMV8DVHOaFONU5AYHBw
u-r3-LjnU8ABaDcbc7pHbj0w	SERVED_ON	r-YO_HEj1RO9h7e86Lvjkkyg
r-W5_uRBWg87tSRRLA0FlytA	GETTING_FROM	r-oQJ5DlXgf5soaxwiCOf_mw
r-Au5q_98OHsz0mMiAoLiFvA	FINISH	r-XxxYSH-uErvTv63zT0ULoA
r-WFurjGZiGZLwqEno9Q9m7w	SERVED_ON	r-buUZ8lssJrqB6TzyHNSlvQ
u-oIOCGzMHkg19niP76esvrg	FINISH	r-ZAiza35waUpGPF7Oiuychw
r-SaRLkv5d71hGwzGUYuX7mg	FINISH	u-p9RQX58PLPY5RiSNgKBuFQ
u-W7igKTvhP1eS2WwUhrBNOg	PICKED	r-CwkjyiziBPKvKdtispwgOQ
u-eeHkL577GLoekAV9TsTTkA	REMINDED	Mantra_Masala
r-v3iBePMr1cUvWY7lKlQUHA	CHICKEN	u-7qSOf2kaMWEhS544oIFR4w
Meetha_Paan	REMINDED	u-pPzXW6K_Fkz-AtgBbJPBYA
u-c5BgNtehrBsJ45AAAJ67Gw	REMEMBER_FROM	u-GqLTKz0YsSkX-DTc9oHrBg
r-1Vpk-rK9vdLCE510UX6_bg	VISITED_ON	u-tRmW0n2d_Q4c_TXqfUSINA
r-AsipdmKfmbStqXcV3ehpyA	GETTING_FROM	r-VOl3Xvl--GjzkdvJ2Bd9Tg
Vada_Sambhar	CATAPULTS_TO	r-3TgtF4SvYdchMA39otX34w
u-xfIClcObonchyKSxpMfE4g	FINISH	Decades
u-DSM73RQ4huvuYjI4azX7dw	SERVED_ON	u-kmC8nIGdQeLUOBCgRDzS8g
u-JEl_9-vznwpcj0fKRXNc0g	GETTING_FROM	Vegetable_Biryani
u-O0evs8847ecEkeFMEuK4PA	REMINDED	r-JStMa8rGM_S-uTA8Uem4Ew
u-TWkZAEsuxaidX4HOMRnRAQ	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u-JHCs-fyEMnKjWQkQvRSORQ	GETTING_FROM	r-SuLSMFVvTllJ6Xwrh5IuVA
r-LwK60Lj00GBNprAP_LMJ2g	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-8VxDzrJQbAiwPrV1CkJi5Q	FINISH	Lotus Market
u-2w-u6meVnnX_gEsOg7p4BQ	GETTING_FROM	r-zerZabI-xjJAbX5YhrbIdA
r-v3iBePMr1cUvWY7lKlQUHA	DROVE_FROM	u-XgmEAWKBxlQ3vetV5ZXeow
u-2qLQOJHBuGQTwoIFnMFmRg	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-d1Ok4o7PSrJ2j6f1CZFQdg	FINISH	r-trWllTewrxv0lXTwtLtilQ
r-ec011igMO5h8ZyrLZhTlGA	FINISH	u-2rcc5LNa6DUA7PlUJZX0GA
Reliable	DROVE_FROM	r-ib72sA16PuzeY_DsXCTskw
u-x5c57CXCNqqENGy9LAdGnA	GETTING_FROM	r-XtMXDKsDQZlOVhxwOxTCBg
r-fYc8vDdWzQRtUbfZX0nyQg	FINISH	u--P4MdxIwar7DCEiOpD_GkQ
r-0-stf0NJOCI4SvVG86gqYQ	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-3TgtF4SvYdchMA39otX34w	REMINDED	r-S_orf7NJFhfe091wqWrepw
u-LyjEBN-9r5BLStzwBgIfXg	DROVE_FROM	u-7jw2VAbnGkr0GF6evuvViQ
Daily	FINISH	r-a84inKsbVpxYXApUmZW97g
u-kmC8nIGdQeLUOBCgRDzS8g	REMINDED	u-FkHx-2cM33pviW0ehCI6FA
u--LFUxu48rLMWmOVN2ANEdQ	REMEMBER_FROM	u-DpMHcU3Gf8pKnXAwN4M9AQ
u-8BJ4VEi11-XN8a-rqjo3Qg	REMINDED	u-TaEul2hAAP3VhkcDFpdZ5A
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	u-olilkogLmuKWp00F_8Au3g
u-exVoGdv_J1KYwD5CuFO7eg	VISITED_ON	r-XtMXDKsDQZlOVhxwOxTCBg
Payasam	CHICKEN	u-7qSOf2kaMWEhS544oIFR4w
r-BTv-AMo8Pq1x0PzC6we-CQ	FINISH	r-VNaVtQ4n4M_eTpHV8xh_2g
u-O0evs8847ecEkeFMEuK4PA	REMINDED	r-EbbnJMBZRFJlbCuaRV4bCg
u-1Mypgmvj1FnLg1a-d9EKBA	FINISH	Korma
u-0kfwxsxY9qG7tzm445x3JA	REMEMBER_FROM	u-TWkZAEsuxaidX4HOMRnRAQ
u-uV-Q2ArVcK2BfiQgdQOebA	VISITED_ON	u-eSqCqWxdazlz9KGlNC7g_g
u-DStRnaP_nZbGBEOCNddRDQ	GETTING_FROM	u-aBjUd4riPiGBCGpWMCH7cw
Vegetable_Biryani	CHICKEN	u-7qSOf2kaMWEhS544oIFR4w
u-Utz_NWi-7a6kKwxL_xGUiQ	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-3TgtF4SvYdchMA39otX34w	REMINDED	u-i7QG1ixeuFwpemeLvmRKHA
r-JkWdx8S6JdoOJhNXBvMQEQ	REMEMBER_FROM	u-FwgT_pZzsLCRPROEonT0fQ
u-WiQHSpdBZksrc6jCvU6yXw	GETTING_FROM	Payasam
r-AUrgKN8VkEgw36nTLUBu2A	FINISH	r-UnxBaP4x5p6EFwCEwfF7Sw
u-HftGlY0aSWl0MYWY8JYCdg	SERVED_ON	r-pB-eC9cvGuI-SqhLO625YQ
r--FeZ7xyhmL-8Phr-bP8AgQ	VISITED_ON	u-kmC8nIGdQeLUOBCgRDzS8g
r-YIowGRkI0KAIgoWnxbtREA	RECOMMEND_FOR	r-aLofmohQOhwv4tUSoyY6tg
u-nszzLIrhrbJRDNOX0W50Fw	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-dkcgu0cstw04dC5Jva7RHw	REMINDED	r-GyYjI-lBQwkypLbQF_h-yg
r-bvc2v9oIfyksdTIB2Kv8CA	FINISH	u-fjja1SUrhPYRZFwAseYBvA
u-Rg0sroYoSGcPh98VTuNwYA	REMINDED	r-up6nsXnwF7_qVnIDhYaz6g
u-z4SLb3j6NK9Otb0u7XKqdA	DROVE_FROM	Karahi_Paneer
r-Ix7wvjR3billhswq9LubZQ	VISITED_ON	u-AvC5XQAElcGAAn_Wr5auEg
u-HftGlY0aSWl0MYWY8JYCdg	CATAPULTS_TO	r-16EquhLtluC7UeZRWdxjiA
r-DKylc51TYFvp_ufoMINv0g	VISITED_ON	u-Rg0sroYoSGcPh98VTuNwYA
r-QqfxnnuFlq8FhckubhFB2Q	FINISH	r-4KtF1Gv-eax00qNZWUVbpQ
u-khRG2oMmAOXA7C1U7P1j4w	GETTING_FROM	r-IsX2uIp6D1fpI5jQ6nv7RQ
u-ugLzELm2bWV_7fvDKjBaZw	FINISH	r-KC5wYAmgrb4hcP41f59_Yw
Halwa_Puri	VISITED_ON	r-JckCEB5nmwsYAe8_0lhtCA
u-nNjaWd2seeh5pbAj5GFbRQ	GETTING_FROM	u-Kp41QyEY4z9q48VdRPtdEg
r-7BEYqR-rrGUMRvVhf7fa1Q	DROVE_FROM	Vada_Sambhar
u-8BJ4VEi11-XN8a-rqjo3Qg	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
u-XqfFXg1Lz6C4x8CgNexWkA	FINISH	r-GLu3BWHTN8G7dCjnq_-W7g
u-Rg0sroYoSGcPh98VTuNwYA	CHICKEN	r-VgUQazY0p6F9drCWZ0ho4A
r-SO-qLS5FN7ybjpMDf96gWw	REMEMBER_FROM	Indian_Bbq
r-vmkAp9ChxEEgSIv-b-ryOQ	FINISH	u---inoxVRk5TYjhuI4e304A
Scallops	FINISH	u-syCxRdiP-0XJenWpJ8L02g
u-QPZ3FoL4ZI2T3pNXxfo3Mg	VISITED_ON	r-dkcgu0cstw04dC5Jva7RHw
u-Aml_223CjrILCQaZ6YNw0g	REMEMBER_FROM	r-ranTwwiHFn2k0u-3e9Ok_w
r-6iYuO2eDWIIPbT21k1cLxQ	REMINDED	Manchurian_Chicken
u-WRchgs4LvsIYidMhlkiCgw	FINISH	u-I_hZOak13ydnfXV1nJPDTg
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	r-dkcgu0cstw04dC5Jva7RHw
u-badqE935Y9A1_lSNVrE4lw	CATAPULTS_TO	u-AvC5XQAElcGAAn_Wr5auEg
u-9ALVNSHgqSr4CYt6ArJpFw	FINISH	Coconut_Drink
r-YDfkuCydGxaMKUSSjWaoEA	RECOMMEND_FOR	r-zTPuj680mDAKDOuGZZOPgQ
u-pmeGrUv6S22pf38FTRYCzg	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-72binVGkuOlQ5VAF7fgeYA	REMINDED	r-iD8V3yofoZe5pA62ZILMAA
u-l5_g5z9eOeXEMhA2x2lIog	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
u-2K50D1mnCCO1sLcsABEQlw	PICKED	u-InDrrRvQ9f732YGPX4Ixmg
u-_ybknlgSmFSTSEq3RqBXiA	FINISH	Chocolate_Dosa
u-jqp5BEMzEUIWTCt6pezS2Q	REMINDED	r-DFrnCkTf5JmD8LPj9Rf1eQ
u-WBsqfXYQm6F2T0eMpCdaEA	DROVE_FROM	u-Iv-dbHr2ZTsb8mrd_KDR8g
u-M4P02bBbTauuwP6OhGpT-g	VISITED_ON	u-S9F2a5MxI22ke1LX7JnIxg
u-2K50D1mnCCO1sLcsABEQlw	LOOKED_LIKE	r-bUldmdKiiINDVb79ot_veA
Shrimp_Rolls	SERVED_ON	r-T9NHVkcY-_NTdQi5tRX9Ng
r-U-X-AohNoxughI3K-FT4-w	GETTING_FROM	u-kmC8nIGdQeLUOBCgRDzS8g
Papdi_Chaat	FINISH	r-LSWKasuy79GFTveBXd31hQ
u-_xTI652PSfP1r3lSkymVrQ	GETTING_FROM	u-mRv0t_dmwWZzm0-gFBnRlA
u-Y-sW-k-vT3jXCfYoOZLt5w	SERVED_ON	u-ddPkNUNPtp-aaqjUgsTxBQ
r-T1oJqtQPL0WNYDBS2Ly6Bg	GETTING_FROM	r-aFPjqclPBIiTkyW1bYAjOA
u-eQzmDj_pF8TtgMgXScRCFA	GETTING_FROM	u-4OY8QfPV1LR3ggNN4P51OA
r-Wg08tbnObKj3WbWJdy4vTA	GETTING_FROM	Lamb_Shank
r-byk5ZJjkkvHg9HaVSy8wlg	FINISH	r-shLANbOKZPL7aH6YrxCstw
r-2Pek-eKGPGNRnbirKUfYvg	FINISH	u-PzjAqkfNN9olT1I7-EGZbA
r-dL4SKXXV-ZCYIa6x_t_-ug	VISITED_ON	b-qcqDjeirxvdgW5kQVkEwSA
r-H1prTLrWK4NqLRNPM5C70g	VISITED_ON	r-T9NHVkcY-_NTdQi5tRX9Ng
u-dQm7mXUyHfKBmUj0aQMSnQ	DROVE_FROM	r-FVjLCiC8-MApH42NDYiUWg
r-SjpNIUVJkFbMYwnYcUo46g	FINISH	u-KMfMN0CabpKOGpHmGpw8Tg
r-sTMJZ_VALyB_RsKbkQLJPQ	VISITED_ON	Egg_Rice
u-9_EcNE9epSAR_nxxChifqw	VISITED_ON	u-pXZu2slCZS3BbFyG_UCG5Q
u-5SAuwOC7FX6dnlmgts_EoA	REMINDED	r-Q5dGqrhs9s4IHnh2o3GCqQ
r-3TgtF4SvYdchMA39otX34w	REMINDED	Mushroom_Masala
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	r-rMlElxVn8D5ZYa6z6GSv6A
r-JnOH9SEtiL4YpvSBl-DzHA	VISITED_ON	r-zfPfqvpnG1BKHQH2yGg4ZA
Complex	FINISH	u-TaEul2hAAP3VhkcDFpdZ5A
r-46GrMV8DVHOaFONU5AYHBw	CHICKEN	u-7qSOf2kaMWEhS544oIFR4w
u-cZm0eIvfPC7zxOwbKsjMLg	REMEMBER_FROM	r-dKtkAH68CwtjHkKOKr6sfg
u-jQHvz7VFbO0e01OOxB5W5Q	VISITED_ON	r-zerZabI-xjJAbX5YhrbIdA
Quiet	LOOKED_LIKE	r-tNKm9SCl9TedwRU67gqrLQ
r-d7X4c1C6HtCAfo285BEBHw	CONVINCED_WITH	r-gRmAHym70YrTHrfyavVrZA
r-UPI1kdowVdk_wwR4Z8-wTA	REMINDED	u-axveCztW5lYy4RbtWjw4lg
r-Cr-3C5AOx4VLsVfbQyt3rA	VISITED_ON	r-aFPjqclPBIiTkyW1bYAjOA
u-Fraxp2IxIZJbct75AnqEbg	GETTING_FROM	Payasam
u-2K50D1mnCCO1sLcsABEQlw	CHICKEN	u-WBsqfXYQm6F2T0eMpCdaEA
u-Ywq-0nNsdR7byGWgfi4XxQ	GETTING_FROM	r-zfPfqvpnG1BKHQH2yGg4ZA
r-CwDr5DtDvmlhC1qk4R6z2g	VISITED_ON	u-eeHkL577GLoekAV9TsTTkA
u-tRmW0n2d_Q4c_TXqfUSINA	REMINDED	u-qCYSdhsOzHBKT-V72BiYNA
u-JHCs-fyEMnKjWQkQvRSORQ	FINISH	u-m78ZLMMybP-X0M1ULZD7yw
r-DkN1L3EFmxW_0L7CeY1-fg	DROVE_FROM	u-ACxJcxfJyAiEqMvOlx1EYQ
r-G26xkbUtH9Ud8jC-IvOETA	GETTING_FROM	Buffets
r-2GyqXoImjIn_JYmcUD32uA	FINISH	r-a337pjKA30UOdswdgBrw5Q
r-FpYcQ73TkWW9LTtv-gJx5g	FINISH	r-vljzfomd7jldxQMCQXnD9A
North Charlotte	CONVINCED_WITH	r-gRmAHym70YrTHrfyavVrZA
r-YO_HEj1RO9h7e86Lvjkkyg	REMINDED	u-dROrat3yrewNsL-GZSTpTA
Nutella_Dosa	FINISH	r-WJrdtrQ-xs5DR_9Zlbe1gw
r-buUZ8lssJrqB6TzyHNSlvQ	PICKED	r-W9A-JMT-jDXVD4E1ESUkWg
u-TotJG9Wuji9m5m3KhLWajQ	PICKED	r-Y0vAsIw4kxezCHDVppsP6w
u-xRN4BwVJU0Wc6zPrLQmTsg	REMEMBER_FROM	r-QCxqiPHGiKTvBnjVCQcuqQ
u-rGd8YUtvhSdMm8-9cMdQ4Q	VISITED_ON	r-VOl3Xvl--GjzkdvJ2Bd9Tg
u-rvFEnb38DOHkBNRXLvZFFw	FINISH	r-xbL2x7WPqaqLeAtWBpcNgQ
r-buUZ8lssJrqB6TzyHNSlvQ	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
Konkani	VISITED_ON	u-2K50D1mnCCO1sLcsABEQlw
u-IQ6H85aloTdF7iAkr_b7Fg	VISITED_ON	u-8BJ4VEi11-XN8a-rqjo3Qg
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	u-aEdwKSzDnHIadYuWya5y_A
r-rMlElxVn8D5ZYa6z6GSv6A	LOOKED_LIKE	r-Hb09_FIWLdMDpRBXeUHVuQ
r-kis1x-9I6I2cYPeNRZIeww	VISITED_ON	Food
r-nWULDQaeQQYo6meLdQHjDg	REMINDED	u-eIs903qIpxuYvKM2Kmas-A
r-C0CRW9VBcoSz0MRVUevq1Q	GETTING_FROM	Terrific
r-p1Ra9pwk-RmRM020Y8XWiw	SERVED_ON	r-dWk_YkzguQVfSEBetOPUTw
u-50onk-sE-OODo3mgU27-nw	FINISH	u-O4F1_e9MLVO7AKeGDWg5uA
u-S9F2a5MxI22ke1LX7JnIxg	REMINDED	r-tO_9RvKt6VI8C04u-hsUIQ
b-gsc1j3RZQdScBnULSwaV9A	VISITED_ON	u-kmC8nIGdQeLUOBCgRDzS8g
