subject,predicate,object
u-XFoGm5ayOBBJqqSuiRuiFw,RATE,b-CB99Ifh4OnBTnuNdRjj_fQ
u-r4SkxSerkyk89tOhooFzeA,WRITE_REVIEW,r-IJ7HG-xdetGYnFmXR8rA_g
u-UAFGZ1mFuAaG5UKowU0P0g,VISIT,b-jb0-JZMt-6Khsh-VwsDtLQ
Staff_Awesome,ASPECT_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
u-oplWgjTUMVyIohDvtF_Hcw,WRITE_REVIEW,r-SASJ-l1AzxJR7fTH3qpSww
u--SRDTWwdGca9OKdYxA6XDg,ORDER,Chole_Batura
Customer_Service_Atrocious,ASPECT_ATTR_FOR,b-nbf4o8gUP2y9JKFE2wBO2A
u-CruXS1miugUWBGqv66Z1Jg,WRITE_REVIEW,r-O5MNmI7WENrcqs_CpYDsgQ
u-0rOldmzos1vjkd0SmHbKZQ,VISIT,b-h-psPOmlY0mCOflb3S3rdQ
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-XaNwHucJt8WSNruUTaONyQ
u-BSu2hEtBYvtADAEKiQrmiQ,WRITE_REVIEW,r-i1iB399wJvB-o9AUCQKnmA
b-0Hy2VE9tqTo4QbovMz3xrQ,IS,Clean
u-rVi5NvoVDH3Lyk0HPFGdRQ,RATE,b-P4h8kgy_48oE9vCHJc4BCQ
b-xSuR0FK8cHzBLXowCV3Pyw,HAS_MENU,Sweets
Service,IS,Service_Perfect
u-GfydT32-B76VTabMnOcCQg,VISIT,b-0Hy2VE9tqTo4QbovMz3xrQ
u-9M9pCbQFCzFXltkEdGgqxw,WRITE_REVIEW,r-Ds68bmZtw76LT44NCcZAsQ
Food_Authentic,ASPECT_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-OUDnu-Oge2Im9RrG0DaHig
b-idrN6XWKErG6nKDsEMNbOQ,HAS_REVIEW,r-ONKtODo-oJSLCZm4c1TsSw
b-TTCZkfxt0GW8YUzdVe0PrA,HAS_REVIEW,r-fkecMmyRMI1lQJS4i73xIQ
u-nrUQRMx6K-KJnoC15rMO2g,VISIT,b-BoiAZQB9AHRvazM055GFOw
u-6T2wUKXuQkbk8vTwTC6OVQ,RATE,b-nbf4o8gUP2y9JKFE2wBO2A
b-RE4qn28MEiDrM1PbdYVgxA,HAS_ASPECT,Food
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-TKCNXpi4VCrKVWkmD0GM2Q
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_REVIEW,r-tpUsFKZrIwZhQdihhLxncg
u-bDvV6UuRyUKT3DMTOzp62w,WRITE_REVIEW,r-W5k24EDNTLFXzzpG9YEldA
u-PvjiauDPX2IPz7ybrrFRFQ,WRITE_REVIEW,r-OldIbmVteB32xpZeMKUOyg
Price_Bad,ASPECT_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food
u-BGBuZAbxvlJKhGGarck2sg,RATE,b-xA6L2w_TlbxHubb1xeBE8w
Food_Good,ASPECT_ATTR_FOR,b-bO_JX-lDo5D5JGZhK5Ly3A
u-bP6j4jUmPSZdSoTXi7rQeg,RATE,b-gXLiBVCHIqoPEw2CaP3QmQ
u-pVIdSQrXiYEwK0GFbLM3Jw,VISIT,b-gw0ZS5b5RP3Lzr1BoCbALg
u-tw-F1CUvdukzlfxLqgmXWw,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
u-YGyJqvgwOkO8pZRllVIXgA,WRITE_REVIEW,r-o5pgvoba_2zvqzj1ibOgUw
u-liiY-jtE681B_fbP1sHfiw,RATE,b-eRZuxjnaMviiVyvhejwTBQ
u-qk1FM83yW09dP7HYmTOacw,WRITE_REVIEW,r-DCJljjCKRbRjxBETJLCvtQ
u-3Uv0dGI2IXJb2OUj8R2GJA,VISIT,b-gw0ZS5b5RP3Lzr1BoCbALg
u-uf95iifC_TQ-DtDs0rtiXg,ORDER,Chicken_Pakora
u-4McoAuXDYZSRmHgDnWsOzQ,WRITE_REVIEW,r-t5oL3K7kXb4P9eDLy9KAbw
b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Food
u--P4MdxIwar7DCEiOpD_GkQ,VISIT,b-qhKNZTtTT6GLnPzQny-v9Q
u-WTXWlMjJnn4dFKpyg4hvGg,WRITE_REVIEW,r-CKOEC1a6t1HjUjsKyAA1Ww
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_MENU,Chicken_Biryani
u-PVyl_Kilc81Y0e3eCGJF0g,VISIT,b-RE4qn28MEiDrM1PbdYVgxA
u-KE_qVCnnNOJz8Nn6QvtnLA,WRITE_REVIEW,r-yjCYRf5cy_UAz1oFoiqz9w
Parking_Difficult,ASPECT_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
Butter_Chicken,IS,Butter_Chicken_Incredible
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Butter_Chicken
Great,ASPECT_ATTR_FOR,b-ZJ0gQp0fcnIDiZv0m9--Gg
u-cz87n3GPzjPP29e5tgQryQ,ORDER,Beef_Quorma
Naan_Tasty,MENU_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
u-Ug0ujy9-jd0Oc2nk3KIotA,WRITE_REVIEW,r-EEnWzuRzzKxEv6qxXYLTjA
b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_REVIEW,r-0av9cnDyoaQQu0pU7vs33Q
b-eRZuxjnaMviiVyvhejwTBQ,HAS_REVIEW,r-dIwBZOfH1dxbcg_b-5l-eg
u-eQzmDj_pF8TtgMgXScRCFA,RATE,b-kG0N5urz2lkPEBDPjqFR3w
u-JPmEINY29c9W9gwVPb0_PQ,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_ASPECT,Menu
b-qcqDjeirxvdgW5kQVkEwSA,HAS_MENU,Shrimp_Rolls
u-2mKI7s51PD-W5t8CrCRjNA,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
u-0qEVktiRfmZAQY0d28KAyQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
b-SxuD7iY8QO88PNbSdNmNKg,HAS_ASPECT,Service
u-IjNOwI028HYJ9deeeFkXqQ,WRITE_REVIEW,r-SbME1yf0Ax_NNBhi4ZmMiQ
Price,IS,Price_Fantastic
u--duHzkejpOJjc9G2ERE9Kw,RATE,b-UAXz2KC1aXpxzV-MLdXbmQ
Service,IS,Service_Prompt
b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_ASPECT,Food
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_REVIEW,r-lq9E3Ytd6Owf11CgomJAdQ
u-VQcVz5wzl0380XGy316xgw,RATE,b-De8Z9rLZOmf-icp3gDxCZA
Food,IS,Food_Well
Service_Amazing,ASPECT_ATTR_FOR,b-bO_JX-lDo5D5JGZhK5Ly3A
u-HE0qZ9B1B-h6icUDpV7sdw,ORDER,Tandoori_Chicken
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_MENU,Naan
b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-Y0ECu_eAJ6iXq6BI_Cb4UQ
u-oDUYE_lkA0tIRubBwNANkA,WRITE_REVIEW,r-ICSDr0IcCXlQgsiyGoHvKg
u-HeiQX_tqWC6Vc6xUOJVlfA,HAS_FRIEND,u-m_H93eDKdiBlRv8K7Ffgsg
u-dnGUfYdH4fnSoZrA3KbiCw,RATE,b-y4z0iQZWN4R2Fk8SiPQU5A
u-lj9e7yC7BfOj6mCMXW_DyQ,RATE,b-DJuQgsoj-qmU0i5iTAa4aA
Tandoori_Chicken,IS,Tandoori_Chicken_Dry
u-FJy6BVYJt0hErGnKaEv4uA,VISIT,b-7xA6iSP0Ndn08tpBFQtUKA
b-BoiAZQB9AHRvazM055GFOw,HAS_MENU,Mango_Lassi
Food_Delicious,ASPECT_ATTR_FOR,b-5eDg_Y2N6aU_k7tIxoFXTg
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_ASPECT,Food
Rice,IS,Rice_Gooood
Tandoori_Chicken_Dry,MENU_ATTR_FOR,b-3wJ4kJsJhayyfJ30HsS04g
u-IBOElU0CctRdYSVQRHSxyw,WRITE_REVIEW,r-H4Nc2LLQTGHApJzPVXwuTA
Staff_Friendly,ASPECT_ATTR_FOR,b-bO_JX-lDo5D5JGZhK5Ly3A
u-DvDEccGguYTxxPDNU35y8w,WRITE_REVIEW,r-YnleEy0ERsrhq_W7IWZUhg
b-LwXo16VrGPhhOWc_Wj7ifw,HAS_REVIEW,r-JZGaigCXeYin_NyAL6zcdg
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_ASPECT,Staff
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_MENU,Goat_Curry
u-3n9g3tGFG9dCuQyWfO4RiQ,RATE,b-TAnzFr9NixvCbvUdJMWL5Q
Fresh,ASPECT_ATTR_FOR,b-qMw7mFHAjgG7qN82aXmeZg
Naan,IS,Naan_Soft
u-rQaSxi5bNINL8jo9AUK05w,VISIT,b-Ksk5cLav4OtbUtpRGp5b4g
u-uv5F82-AVlSr8-BFswTUWQ,RATE,b-bO_JX-lDo5D5JGZhK5Ly3A
u-3aYeG-x5A44GIgmBHrwyAA,RATE,b-gA4bnK91phT5FTzG4ki3Dw
Tea,IS,Tea_Good
u-ulk3n0JW8tWnQ83C7m8z9A,ORDER,Dinner
u-69tnv4pzbJmZXH7IjfoAog,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
u-xG_UtKXuRR-vXcPsqbZm7w,RATE,b-RE4qn28MEiDrM1PbdYVgxA
u-pW1Dy4BWssf8vlkjgKhbgw,HAS,Weekend
u-oz87x3iaEi17QgAqMCm1SQ,HAS,Food
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-xKeufb74Zn4lOG7jqZ9Hxg
Amazing,MENU_ATTR_FOR,b-GC9Re0tKAnecMww3DB638g
u-Vl4t_hvukngrrcKZhJKRTw,VISIT,b-XvuUYiJYAAiNC4AmdbBZ8g
Staff_Friendly,ASPECT_ATTR_FOR,b-xA6L2w_TlbxHubb1xeBE8w
u-eu3bRjCyZJQ1Kqgu9vM1fA,WRITE_REVIEW,r-TefEe6l0yMyYtlnCym-j5w
b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Gobi_Manchurian
u-bQEgLSrldvu55QC8FFF2EQ,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
u-nYd2iyETcfA5-zN6vri1DA,WRITE_REVIEW,r-pmOuElGiflVO1c7HstY6Bg
Soup_Enough,MENU_ATTR_FOR,b-y4z0iQZWN4R2Fk8SiPQU5A
u-9jaBZ5IVnaf61AhGtEESgw,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
u-XCRZlj1aTmH0JoFJSZ0GSg,RATE,b-OZwMMnRncrp7_uC-N3vV1Q
u-RRt8KBKdndvdiG6x-ECtpA,ORDER,Rice
u-o_egMf0KdocL01Tp3f3N7w,RATE,b-YywWkWX235ZurTWSLqNPog
u-VsZL9I6sUi3Ll7rd9rn_7g,WRITE_REVIEW,r-L5F2p0JdRr6j08aeCJ4jvw
b-gsc1j3RZQdScBnULSwaV9A,HAS_MENU,Samosa
u-8cxt_721COnnD3ISH-l6og,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
b-8grTRpmD9JYRPWayoLxg0w,HAS_ASPECT,Food
u-14aUQOxANsr1SN4GvEUm8g,RATE,b-f7RXwcus_-EOsR0q5ctVjw
u-m4Fe9dW_9Wlt3mDq4FfcmQ,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
b--p-CuUMzN0HQz9OCQ8SZOA,HAS_CATEGORY,Halal
Customer_Service_Excellent,ASPECT_ATTR_FOR,b-gw0ZS5b5RP3Lzr1BoCbALg
u-7vJcXAjnP4GFlJQO0uyI1w,RATE,b-pU7L-CQpl4syUwfEGAlb8g
u-WteVnkVed1Czr6qe5YmXLg,ORDER,Butter_Chicken
Barah_Kebab_Tasty,MENU_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
u-kR1er75QP_E4xBBFlrbAYA,WRITE_REVIEW,r-wSFlDWNPCtZisiAorhKEYg
u-eK0ZDS5h2aaBM9daB-UIuw,WRITE_REVIEW,r-83vSjKFrgfUSxvYfFpDUcQ
b-Q8uwArm4h8bhsqxw84Gd8w,HAS_ASPECT,Food
u-ZouGEn8tmlDBSZv2_4UKOA,WRITE_REVIEW,r-Tq9cOYNve-uDb5hOY-0Seg
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-tipn_fKY6fEBdO807A2TMQ
u-n4DeNymCmaulmpoThjjEQg,WRITE_REVIEW,r-PdAoT3shlwxnjT7J4lY2Zg
b-dg4EMyM1feTEWfLPSbunrg,HAS_REVIEW,r-4Q_7bhk_AHDBuGnzniosBA
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Lamb_Tikka
u-1oPcONupOFfYwIjxnF9HvQ,RATE,b-k9PfKE7KfztoMpOSx25UpA
Food_Fresh,ASPECT_ATTR_FOR,b-8PZGCtgG5MZKvz9i3B9gCA
b-vZu3xxlMQSqFngDgdFLfXg,HAS_MENU,Bread
u-f9lmq_cLXo-xblO6h21KWQ,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
Service,IS,Service_Slow
u-SzcrUoOdo5LSy98sIgj0lA,RATE,b-3wJ4kJsJhayyfJ30HsS04g
Service,IS,Service_Slow
u-u3yl03Gu-fW-BLRjn5iQog,WRITE_REVIEW,r-5OXf-9OCK6CjtPPd8Q2mLA
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-c48LXeAc0LyUJtcL1ax4zQ
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_REVIEW,r-39KHMR__dW0UslEDM0ha_Q
u-TLCxxfPQkKp1y6Z5fN6NQw,RATE,b-SxuD7iY8QO88PNbSdNmNKg
b-ZNdV9ytExuxPTXSN8i2xhw,HAS_ASPECT,Decor
u-Btg1z2BitwEunx_SqndHCg,RATE,b-8PZGCtgG5MZKvz9i3B9gCA
u-XLMpKbIsNOH1DcQN4knRjQ,WRITE_REVIEW,r-xKeufb74Zn4lOG7jqZ9Hxg
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Naan
u-D1U0qNYvQg8bLT75pQJktw,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
Service_Fast,ASPECT_ATTR_FOR,b-kG0N5urz2lkPEBDPjqFR3w
u-OqdJYU9BZ8bxOtuzX96IAw,WRITE_REVIEW,r-BHTZJvx7aizimP1LzL93SQ
u-FLLrA7D34jmzX0h2k3i2MQ,WRITE_REVIEW,r--I6_M7eiY-5KvvpvXEV70A
b-hubbaEcYPYEZu5Ziz6i0lw,HAS_MENU,Mantra_Masala
u-6CbNnrhmjcGLX_FM1vvVrg,RATE,b-bO_JX-lDo5D5JGZhK5Ly3A
b-scM6rLQqoz5dEIgwz_JFsg,IS,Great
u-_yN7qnhWN09E3v1c62t3fQ,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
b-sUGlSS0AF2xPYFEjvKJbSA,HAS_MENU,Naan
b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Staff
Fresh,ASPECT_ATTR_FOR,b-or1daHtUK9b7sqFRPf62GQ
Food,IS,Food_Good
u-PtCnYJdVicJ1BOa6X14fZw,HAS,Food
u-2iJA4fSMlMzoTqx-DLRS6Q,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-LwXo16VrGPhhOWc_Wj7ifw,HAS_ASPECT,Menu
u-QtKp6zUk4fHDxMms4rCQ7Q,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
u-FGyF8-rkQT_teGYjlwgLGw,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
b-p-J9iJgeHmPGk2jFAM0WnA,HAS_REVIEW,r-2qpFyx9Y6CNhhixMu79jHg
u-ME92LC_Zp8Tl2hOKHUKU3g,WRITE_REVIEW,r-vfF7qVd2jFMyl8DvnZyhig
u-C5QsUsQg5I3dMdLM02SXGA,RATE,b-ICUCAzUZFiWkYs7iCtNCQg
b-COfzp0tze_F8N13zn40zzg,HAS_REVIEW,r-iXBsgDC7Tuq2PAGvX7du3Q
u-kgRTizyE1oY441S8gn_eZw,RATE,b-AZKhBlrI5vgTBm3j9WwnbA
b-idrN6XWKErG6nKDsEMNbOQ,LOCATED_IN,Mississauga-Canada
u-ngtTakc8A5ffJldZ1mabVA,RECOMMEND,b-0cf-w9PK5gLkBkitL3bdqw
u-tM35Wboo2VuVfcjIxOrnOg,RATE,b-qhKNZTtTT6GLnPzQny-v9Q
Nachos,IS,Nachos_Disappointing
b-p-J9iJgeHmPGk2jFAM0WnA,IS,Clean
Chicken_Delicious,MENU_ATTR_FOR,b-y4z0iQZWN4R2Fk8SiPQU5A
u-yqDixbt-4M-9dL0OYjbN5w,WRITE_REVIEW,r-_VqVELjrSM9-gKhfrJdlEA
u-_t3BJzyGaqr9mcDazYiYAQ,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
u-et8YTcfYcJBALetRh4Sdpg,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
u-tWHAokffzPqRE2fPYkT4qQ,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
Saag_Paneer_Great,MENU_ATTR_FOR,b-bO_JX-lDo5D5JGZhK5Ly3A
u-CvJG4MAs3aVY8O2BuVKARg,WRITE_REVIEW,r-SrAAsmf6QfMJ8tV0gK7m0w
u-9BvceUQBbVBG99KUULN6hA,RATE,b-NHDdAZJqS3cf_K6HYxoQ9w
u-O_P3ht6XRpd2DE6J55PANQ,WRITE_REVIEW,r-E_ATgJTb8XyDsQLJuJ93UA
b-xA6L2w_TlbxHubb1xeBE8w,HAS_MENU,Chicken_Tikka
u-Bz9Hddcu2Hu0h3FArKfDGQ,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
Food_Good,ASPECT_ATTR_FOR,b-5eDg_Y2N6aU_k7tIxoFXTg
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_REVIEW,r-g0ZwcMNPb5z8XaYhY-DErw
u-AfkSDOjKn2k1IpmISO8XQA,VISIT,b-W_9ophRRWO924hn1S-y2Hg
Stale,MENU_ATTR_FOR,b-MgsOZpYSntKSCzNROiWgYQ
Food_Fantastic,ASPECT_ATTR_FOR,b-Dd1w7xR7Xs3bthwusgy33Q
Naan_Amazing,MENU_ATTR_FOR,b-7xA6iSP0Ndn08tpBFQtUKA
u-uwwQKAP77Iqg4OpadyO2pw,RATE,b-yy_FhzQCeLreV21OBccPAg
Lamb_Fatty,MENU_ATTR_FOR,b-Q8uwArm4h8bhsqxw84Gd8w
Chicken_Tikka_Masala,IS,Delicious
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_ASPECT,Food
Staff_Friendly,ASPECT_ATTR_FOR,b-Pzs43Fkub-6A9hA1zqpF_w
Chili_Chicken,IS,Chili_Chicken_Delicious
u-mgr275Dd5L90-InfNB9g5w,RATE,b-f6T2YaTfGoSyQV-l4jzrjw
u-2Z4l-vekzp0KGheeUoSxQA,VISIT,b-DeI4KqEeWy0cTdh7Wy5_RA
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_CATEGORY,Pakistani
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Staff
u-6mZhfYKwrn1zQgZUOoowHA,WRITE_REVIEW,r-wxhKq22wPYf-DO8o1iKVVg
b-BoiAZQB9AHRvazM055GFOw,HAS_REVIEW,r-_VqVELjrSM9-gKhfrJdlEA
u-Pp-v2RxM0TIXj1AMsThyVQ,RATE,b-DxbdfvNYPCyiLJDDPJK3Tg
Vada_Sambhar,IS,Good
b-P4zWgzYzy03D9LeDTpKuDg,HAS_ASPECT,Food
u-gjW2ctfe4yvTD7IqmZUeBg,ORDER,Naan
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-Lg_TgapFeMztoFHvn46u0g
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_MENU,Sauce
Service_Friendly,ASPECT_ATTR_FOR,b-gXLiBVCHIqoPEw2CaP3QmQ
u-9ESy342WfZBiDZHhFf8QEg,WRITE_REVIEW,r-xNGZBuFUbjy4iMDtkGAogA
b-bO_JX-lDo5D5JGZhK5Ly3A,IS,Good
b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Sauce
b-kfwpXBsMQLqhUvscWB6b9g,HAS_REVIEW,r-WtKmWoe881aAe2llTEYn6w
u-U1vl4SQzO3wTAWlYVnSjnw,VISIT,b-geMa0_CtMOctkUhf_JXK9Q
Service,IS,Service_Great
b-scM6rLQqoz5dEIgwz_JFsg,HAS_ASPECT,Food
Service,IS,Service_Great
b-qMw7mFHAjgG7qN82aXmeZg,HAS_ASPECT,Menu
u-891YxfjTiygqlWvNzolchQ,RATE,b-W_9ophRRWO924hn1S-y2Hg
b-_X0M7EMx475KZSX9wAsmgg,HAS_REVIEW,r-CKOEC1a6t1HjUjsKyAA1Ww
b-sUGlSS0AF2xPYFEjvKJbSA,HAS_REVIEW,r-DmrE4UGHaeEGGIqtbs-sVA
Terrible,MENU_ATTR_FOR,b-pU7L-CQpl4syUwfEGAlb8g
Parking_Tricky,ASPECT_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
u-_Do_FsaqTv8N1p7DdGH1wA,VISIT,b--p-CuUMzN0HQz9OCQ8SZOA
u-MNrJg13AAX6qvaa6PxFdRQ,WRITE_REVIEW,r-7ksQY0fyFHsyDqjPuqI_zA
u-s_2Dx3-fbjRox-06Iu6GFQ,WRITE_REVIEW,r-WpWY61zClMAbqWF5YSsDDQ
u-wWHeaOS28fnCnFN1Pmo3xg,RATE,b-eRZuxjnaMviiVyvhejwTBQ
Sauce_Incredible,MENU_ATTR_FOR,b-Eu-M3y8a5bIxIRXlCj9yHA
Food_Awesome,ASPECT_ATTR_FOR,b-XvuUYiJYAAiNC4AmdbBZ8g
b-gsc1j3RZQdScBnULSwaV9A,HAS_MENU,Butter_Chicken
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_ASPECT,Service
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-v8Gdg4nkGqA7wABeJBA7mw
b-kG0N5urz2lkPEBDPjqFR3w,HAS_REVIEW,r-5pTb8xX8rrhG5PDbETSkXQ
u-ecw7Pf2p67lU5cJZksjL6g,WRITE_REVIEW,r-aebfHj2saSJ8dtSoIu51cg
Soma_Grill,IS,Soma_Grill_Worth
u-IoEg3YNEGynDxbpUW5vEcg,ORDER,Gobi_Manchuria
b-MgsOZpYSntKSCzNROiWgYQ,HAS_REVIEW,r-S-YFHZKKu9q_Z5f2XRtXlw
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_MENU,Bbq_Platter
b-idrN6XWKErG6nKDsEMNbOQ,HAS_REVIEW,r-IrVObrNzBIo5W0XMupk7uw
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-v3QW9uqCCIxy4Lt6TyyeZA
b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Naan
u-9URFNoPu1hmIPCrJtnIUrA,RATE,b-TAnzFr9NixvCbvUdJMWL5Q
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_CATEGORY,Indian
u-tZrO3VcysHPBb63e_jnl_w,WRITE_REVIEW,r-4eWmBYvWGa9gRwNBmbnucA
u-MXx8m2PgBlETPrvqZ9Tvug,VISIT,b-kG0N5urz2lkPEBDPjqFR3w
u-GMZRlfTGiX33Uhyzi8YVEw,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_ASPECT,Food
u-JEszsIpnQ2prCwWx7WuYWQ,VISIT,b-3frFidAcPVYAFB2RxxkIdA
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_REVIEW,r-BWC41Lra-PGXOGPIQZ1ieQ
u-0UNsufPaK_K8ioCJgMhUBA,ORDER,Chicken
u-qSXJYVxAKuqQWXeIwaw3bQ,VISIT,b-UAXz2KC1aXpxzV-MLdXbmQ
u-3QCugmCSsCOHsC3fE0NBjg,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
Fish_Vindaloo,IS,Fish_Vindaloo_Awesome
Saag_Paneer_Delicious,MENU_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_MENU,Palak_Paneer
u-fYQHQzj-1hcw9WcBs7dJNw,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
Chicken_Tender,MENU_ATTR_FOR,b-MMOEaEcq-bsg_RYWHSC4_g
u--GzOj_A2kVcKH6rIjbPWPg,VISIT,b-XNL6PRXaQxyDO2yeBdy11w
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_REVIEW,r-AUWZKXNILuO-U3n7XD0pyw
u-Qu8Y4COgSfkPe_mVfkrH-Q,WRITE_REVIEW,r-mEVGuKXGu1Ph8ZZASRubQw
u-uf95iifC_TQ-DtDs0rtiXg,VISIT,b-j9YFHVQqxM_qKHIc4nck-A
u-Fj0ZnOt188QoYXhwwwZPNg,ORDER,Dinner
u-8FbnfMDyB_nGXIzU0-Y2xA,RATE,b-35KvoWbA3kEsdckaWqG3OA
u-puKCWAzXbY4QfpMBOkVEKg,VISIT,b-qcqDjeirxvdgW5kQVkEwSA
Toronto-Canada,LOCATED_IN,Canada
u-D1q2udKikeOvcry36WegHQ,VISIT,b-BoiAZQB9AHRvazM055GFOw
u-X6wbOm865HPjS94-yMXT9Q,RATE,b-BoiAZQB9AHRvazM055GFOw
u-r3-LjnU8ABaDcbc7pHbj0w,VISIT,b-y4z0iQZWN4R2Fk8SiPQU5A
u-Kf10dTiGlcnyhj8DBoZn1A,VISIT,b-vZu3xxlMQSqFngDgdFLfXg
u-OwMB_Wtbrk2dMQpugCHaIg,WRITE_REVIEW,r-iUaAWiEeCvsyZDNi641H-g
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_MENU,Bread
u-qKpkRCPk4ycbllTfFcRbNw,VISIT,b-COfzp0tze_F8N13zn40zzg
u-ehAvwDt4Fpsz9KPordu5lA,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
Food_Terrible,ASPECT_ATTR_FOR,b-p-J9iJgeHmPGk2jFAM0WnA
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Lamb_Meat
Food,IS,Food_Bad
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_MENU,Beer
b-oVuZtlCFg_zF090Nhtp0Ow,HAS_REVIEW,r-I2udionlXN1sIaaEgjefuQ
Crisp,MENU_ATTR_FOR,b-OZwMMnRncrp7_uC-N3vV1Q
Beer_Good,MENU_ATTR_FOR,b-qcqDjeirxvdgW5kQVkEwSA
u-mibgjGSMUS9F8zyWRa-f7w,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
b-5VOqWjRXUPc7b1A_NSI9mQ,HAS_REVIEW,r-Qv0iXSJwOhkqU82dQnLWDA
b-S4qUsi44l5D9BbUCkhwQEA,HAS_REVIEW,r-jpqbAXGMu3roy2qPwjPqZg
Chat,IS,Chat_Good
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_REVIEW,r-xD4vkvbTON5LbrLgNGaghw
Lamb_Lollies_Good,MENU_ATTR_FOR,b-ZNdV9ytExuxPTXSN8i2xhw
b-Q8uwArm4h8bhsqxw84Gd8w,HAS_ASPECT,Service
